enteré,0,0,1
enteró,0,0,1
entran,0,1,0
entrar,7,10,24
entras,0,0,1
enviar,0,5,0
envían,0,2,0
envíen,0,1,0
erguía,3,1,0
erizar,0,1,0
errado,1,0,0
errase,1,0,0
escape,2,0,0
escapé,0,0,1
escapó,0,0,2
escasa,1,2,1
escaso,2,1,0
escena,4,9,1
escoba,1,0,0
escoge,0,0,1
escogí,0,0,1
escudo,1,0,0
esfera,0,1,0
esmero,0,0,2
espada,1,15,12
españa,3,43,2
espejo,0,9,2
espera,5,7,2
espere,0,1,0
espero,0,0,1
esperó,1,3,0
espesa,0,4,0
espiar,0,1,0
espina,0,0,1
esposa,4,31,27
esposo,4,9,9
espuma,3,1,0
espías,0,1,0
estaba,89,71,76
estado,5,30,16
estará,1,6,0
estaré,1,0,0
estaño,1,0,0
estela,1,0,0
estera,0,0,1
estilo,1,1,2
estimo,0,1,0
estiró,0,1,0
estofa,0,2,0
estudi,1,0,0
estuve,1,1,6
estuvo,1,5,12
estáis,0,0,2
eterna,3,5,2
eterno,4,6,0
eunuco,1,0,4
europa,2,1,5
evitar,4,3,0
exacta,1,3,1
exacto,0,1,0
excedí,0,0,1
exceso,1,1,0
excitó,0,0,2
exenta,0,3,0
exigen,1,0,0
exigía,0,1,0
existe,0,6,4
expiró,0,0,1
exprès,1,0,0
fabián,0,1,0
faguet,0,0,1
fahima,0,0,10
faldas,4,4,0
falsas,0,1,1
falsos,0,2,0
faltan,0,1,0
faltar,0,5,0
faltas,0,7,0
famosa,1,0,1
famoso,5,0,1
faraón,0,1,0
fardos,7,0,0
farsas,0,1,0
fatiga,1,1,3
fatuos,0,2,0
fauces,0,2,1
fechas,0,0,1
felina,2,0,0
felino,0,1,0
felipe,1,5,0
fervor,1,2,0
festín,1,0,0
fiador,0,0,1
fiarme,1,0,0
fichas,0,1,0
fideos,0,0,1
fiebre,1,1,0
fieles,2,5,3
fieras,0,1,0
fiesta,5,2,3
figura,3,8,2
figure,0,1,0
figuró,0,1,0
fijaba,1,1,0
fijado,0,1,0
fijara,0,1,0
fijeza,0,1,0
filtro,0,0,1
filtró,0,0,1
fincas,0,0,1
finges,1,0,0
fingir,1,2,0
fingía,1,0,0
finura,1,2,0
firmes,1,2,0
fiscal,2,0,0
flacas,1,0,0
flamea,0,0,1
flauta,0,0,5
flecos,0,0,1
fletar,0,0,1
flojos,0,1,0
flores,16,0,13
florón,0,1,0
fogosa,0,1,0
fogoso,0,1,0
folios,4,0,0
formal,2,0,0
forman,0,0,2
formar,1,3,1
formas,0,7,3
forzar,0,1,0
fragua,1,0,0
fraile,0,4,0
franca,0,3,1
france,0,0,1
franco,0,2,1
frapié,0,0,1
frasco,0,0,1
frenos,1,0,0
frente,25,33,10
fresas,1,0,0
fresca,2,2,3
fresco,2,2,1
friera,0,0,1
frisos,0,1,0
fritos,0,0,1
frutas,2,1,3
frutos,0,0,1
frágil,0,0,1
fuente,0,3,2
fueran,0,3,0
fueron,9,16,19
fuerte,8,10,5
fuerza,13,19,16
fuesen,7,2,5
fuimos,0,1,6
fulgor,1,1,0
fusiló,0,1,0
fusión,0,0,1
futura,0,1,1
futuro,0,0,1
fábula,0,0,3
férrea,1,2,0
fértil,0,0,2
fétida,1,0,0
física,0,3,0
físico,0,4,0
gacela,0,0,17
galera,0,1,0
galgos,0,0,2
galope,1,0,0
ganaba,0,1,0
ganado,1,2,3
gancho,2,0,0
garcía,0,2,0
garras,0,2,0
gastar,0,1,0
gastes,0,0,1
gastos,0,2,0
gatazo,0,2,0
gatita,1,0,0
gatuna,0,1,0
gennia,0,0,1
gentes,5,11,3
gentil,0,4,5
gentío,2,0,0
gestos,1,0,1
ghamin,0,0,1
ghanem,0,0,1
giafar,0,0,49
gitano,2,0,0
gloria,0,14,5
golpeo,0,1,0
golpes,6,6,8
golpeó,0,0,3
gorras,1,3,0
gorros,1,0,0
gotoso,0,1,0
gozaba,0,3,0
gozado,0,1,0
gozara,1,0,0
gracia,4,11,7
gradas,1,1,0
grande,9,20,14
granel,2,1,0
granos,0,0,3
grasas,0,0,1
gratas,0,1,2
graves,0,9,0
greñas,1,0,0
griega,0,1,0
grises,2,0,0
gritar,1,0,1
gritos,12,7,7
gruesa,4,2,0
grueso,2,1,1
grupos,2,4,0
guante,1,0,1
guapos,1,0,0
guarda,0,3,1
guarde,0,3,2
guardo,0,0,2
guardé,0,0,2
guardó,0,0,2
guerra,0,20,6
guiado,0,2,2
guiará,0,0,1
guiase,0,0,1
guinea,1,0,0
guiñar,1,0,1
gusano,1,0,0
gustan,0,2,0
gustar,0,0,2
gustas,0,1,0
gusten,0,1,1
gustes,0,1,0
género,0,2,2
habana,1,0,0
habido,1,0,0
hablan,0,1,4
hablar,13,31,15
hables,0,0,4
habrás,0,2,2
habría,7,5,18
habéis,0,8,6
habían,45,35,22
habías,0,0,1
hacían,10,9,2
hagáis,0,0,1
halcón,0,0,16
hallar,0,0,5
hambre,4,1,0
hammam,0,0,15
harapo,1,0,0
harina,1,0,2
harían,1,1,0
harías,0,0,2
hassán,0,0,2
hastío,0,0,1
hazaña,2,1,0
hebrea,0,0,1
hechas,1,0,0
hechos,1,6,3
helaba,0,1,0
hembra,1,0,1
hendió,0,0,3
heredé,0,0,1
heredó,0,0,1
hereje,0,6,0
herida,0,4,3
herido,1,7,0
hernán,0,1,1
hervir,3,0,2
hervía,2,1,0
hieras,0,0,1
hierba,2,0,0
hierro,5,8,4
hierve,0,0,1
hilado,0,0,1
himnos,0,2,0
hincar,0,1,0
hinchó,1,0,0
hinqué,0,0,1
hirvió,0,0,1
hisopo,0,0,1
hocico,1,0,0
holmes,0,0,1
hombre,54,78,42
hombro,4,5,1
homero,0,0,3
hondas,1,0,0
horadó,0,0,1
horcas,0,1,0
hordas,0,4,0
hornos,1,0,0
horror,2,4,1
hostil,1,1,1
huecos,1,3,1
huella,0,0,2
huerta,12,0,1
huerto,14,0,3
huesos,4,2,6
humana,2,2,6
humano,2,1,6
humear,1,0,0
hundió,3,0,3
hundía,3,1,0
huraño,0,1,0
huríes,0,0,1
huyera,0,0,1
huyese,1,0,0
hábito,0,6,0
hágala,0,1,0
hágame,0,1,0
hágase,0,0,1
hæckel,0,0,1
héroes,0,3,1
hízose,0,1,0
ibañez,0,1,1
ibáñez,0,2,9
idioma,0,0,1
idiota,0,2,0
ignora,1,1,2
ignore,0,1,1
ignoro,0,1,0
ilíada,0,0,2
imagen,3,8,6
imitar,0,2,1
imitas,0,1,0
impide,0,5,1
impone,0,1,0
impuso,1,2,0
impíos,0,4,0
indica,0,1,0
indico,0,0,1
indicó,0,2,0
indina,1,0,0
indios,0,1,0
inerte,2,0,0
infame,0,1,2
infiel,1,2,1
inglés,1,4,0
inició,0,2,0
inmutó,1,1,0
instar,0,0,1
